,ghg_05,ghg_50,ghg_95,aerosol_05,aerosol_50,aerosol_95,other_05,other_50,other_95,natural_05,natural_50,natural_95,anthro_05,anthro_50,anthro_95,all_05,all_50,all_95
1750,-0.176343448,-0.130645386,-0.096708102,0.021567585955770754,0.07666055,0.22697515752741013,0.016702616621527458,0.070208323,0.21313550931463995,-0.021479057,-0.00295161,0.029956153,-0.104323623,-0.058579316,0.058153099,-0.131674126,-0.052874706,0.085759437
1751,-0.176334735,-0.130642645,-0.096706285,0.021567585955592217,0.07666055,0.22697515752710135,0.016702461396419205,0.070207968,0.2131353041838645,0.015676793628501162,0.044046694958826224,0.083820804,-0.104318304,-0.058572159,0.058163695,-0.173299128,0.001843362,0.20160077019655526
1752,-0.176321419,-0.130636676,-0.096701621,0.021879212395001305,0.077172325,0.231844828,0.016466226090241634,0.070451407,0.21629713810201046,0.040356640850733344,0.070210916,0.1128351420722815,-0.103734807,-0.058198926,0.062282696,-0.14471199,0.029323594587600976,0.22892891509934707
1753,-0.176300213,-0.130626674,-0.096693389,0.022394228572668304,0.077873731,0.23397828329493917,0.016258792320223037,0.071274331,0.22026941303279693,0.051862816368488746,0.081261639,0.12504555548914847,-0.103907253,-0.0574538,0.065793874,-0.142845198,0.038838554591018315,0.27872861540000526
1754,-0.176261138,-0.130607515,-0.096674966,0.022639867782683107,0.078130274,0.23466197720201734,0.016436160001816358,0.071333362,0.21988324090532022,0.05497726,0.083483493,0.12800633740366502,-0.104146584,-0.057463597,0.065846383,-0.154850298,0.048769789,0.2690878193011493
1755,-0.17621637,-0.130560388,-0.096626182,0.022234034226352103,0.07766258,0.2297642249196196,0.016141537947018725,0.070666118,0.21689444441251848,0.003784646,0.033568995,0.079978418,-0.104429088,-0.058520362,0.060514521,-0.198959925,1.1157619004303898e-05,0.22580214955066727
1756,-0.176128878,-0.130487305,-0.09656673,0.022040119,0.07727525,0.2295518472590436,0.016337675343847002,0.070291297,0.21514622930911959,-0.007920469,0.014163080676009694,0.054742193,-0.103766416,-0.059109886,0.061800077,-0.223424954,-0.026345589,0.18432924426633804
1757,-0.176022236,-0.130406038,-0.096499977,0.022171509064660533,0.077580839,0.23282710823642305,0.016237605,0.070766897,0.21692764467951173,0.006900104,0.025134409956538498,0.06534291,-0.103379225,-0.057918242,0.063431845,-0.193665869,-0.007800791,0.18708900167535064
1758,-0.175874927,-0.13029319,-0.096405514,0.021835139849418428,0.076290001,0.22530650386613277,0.016250380713521757,0.069906056,0.21159050818401393,0.022660460279868518,0.042167026,0.082953226,-0.103592889,-0.058470383,0.058516012,-0.187251917,0.008413867,0.23328874183427017
1759,-0.175717938,-0.13016813,-0.096302239,0.021591654,0.076088699,0.22528116991988414,0.01624951,0.069671901,0.2096582195945566,0.039084969,0.062151495,0.10661196441903503,-0.10338864,-0.05861256,0.056554193059594665,-0.158334572,0.019606316946071456,0.24518885406245705
1760,-0.175548751,-0.130026382,-0.096184996,0.021426270849180182,0.076002722,0.22438735396341108,0.016743887,0.069358015,0.20918544501213449,0.054553728,0.082054827,0.1287866395208528,-0.103636507,-0.058881919,0.057073,-0.154836996,0.042423455643851096,0.261059758
1761,-0.175359489,-0.129861032,-0.096048693,0.021173745207100872,0.075140944,0.22009632386145989,0.015809678989843437,0.068620294,0.20583769035616012,0.067604943,0.098385585,0.1479278507168665,-0.103812031,-0.059604511,0.053241297,-0.123354039,0.050207278,0.2703679524640712
1762,-0.175161529,-0.129682394,-0.095901185,0.021109371889289116,0.074850029,0.21945698378191564,0.015753104,0.068534038,0.2036985074816059,0.07392794,0.10782599399836955,0.16067093487299416,-0.104202985,-0.059472785,0.052184597,-0.134398873,0.05970067,0.2642976487646256
1763,-0.174951199,-0.129497793,-0.09574705,0.021154773,0.075294077,0.22046974847074263,0.015407662528689026,0.068751676,0.20549409564049664,-0.101673846,-0.037852104,0.039571698230163904,-0.104253055,-0.059057368,0.053874181,-0.284685521,-0.07764601,0.12296990535403142
1764,-0.1747272,-0.129303809,-0.095584351,0.021177982618792224,0.075430643,0.22202652608760728,0.016275244572372533,0.069243293,0.20729915700055843,-0.15035045,-0.086323778,-0.022343778,-0.103805777,-0.058572251,0.056105423648238215,-0.317714409,-0.127922448,0.094805181
1765,-0.174501372,-0.129099642,-0.095413485,0.021707406,0.076794525,0.22982035878436782,0.016876696303974453,0.070358652,0.21462771597960992,-0.097608867,-0.049121556,-0.003286001,-0.102189375,-0.057017113,0.064533134,-0.284677929,-0.088080087,0.10992793057212101
1766,-0.174249841,-0.128870247,-0.095224657,0.021659322,0.07602513,0.22470430000114733,0.016587004,0.069728401,0.21127399842234912,-0.048586813,-0.010410365,0.034019913140353096,-0.102508182,-0.057287599,0.059642089,-0.250242448,-0.063382901,0.15988024311049895
1767,-0.173948541,-0.128626583,-0.095025299,0.021650634431926635,0.076093019,0.22479647790405288,0.016694716286553724,0.069744685,0.2119778719717533,-0.012666018,0.016819249660496628,0.060422734,-0.102463156,-0.057389677,0.060419275,-0.213484871,-0.02790595,0.1770586929646078
1768,-0.173598506,-0.128378576,-0.094816259,0.021777319,0.076212918,0.22459367918443696,0.016473261,0.069995273,0.21204566115407492,-0.069727827,-0.033667423,0.004859366,-0.10189033,-0.057287277,0.061320797174266875,-0.276837224,-0.081586693,0.1293314958188191
1769,-0.173254313,-0.128117909,-0.094580614,0.021163495,0.074095884,0.21515559906634196,0.016904348497569527,0.068468839,0.20336489095567598,-0.070207806,-0.036609079,0.000841875,-0.101766512,-0.05813848,0.052985215,-0.281694555,-0.083205812,0.12374554481826334
1770,-0.172851685,-0.127814886,-0.094334716,0.020982274413432978,0.073965903,0.21644781715694586,0.016834482303782483,0.068558113,0.2019069788114933,-0.028905155,0.004199679,0.048449979,-0.101446581,-0.05780024,0.051610174,-0.215469037,-0.043257283,0.17589850315697406
1771,-0.172420417,-0.127497037,-0.094080603,0.020960111065627368,0.07402121,0.21555734490985431,0.016730282619956932,0.068206264,0.20091216298419437,0.009489476,0.046717786249333995,0.089462939,-0.101481239,-0.057621962,0.051923268,-0.196095186,-0.005637563,0.22089647258847983
1772,-0.171979641,-0.127168691,-0.093823415,0.02121688,0.075210534,0.22091151363541592,0.016408838792500047,0.06887974,0.20541507992131605,0.038818674324221314,0.073528161,0.1188013047904833,-0.100811315,-0.056466733,0.05751983,-0.162864834,0.031506266,0.24403679121808436
1773,-0.171530022,-0.126830892,-0.093561664,0.021622395470971736,0.076331605,0.22591508640482288,0.016646256661061884,0.069465707,0.21109664959866156,0.053540312782612565,0.08814924,0.13567209922178042,-0.100392858,-0.055385046,0.062695223,-0.131910353,0.048189131,0.2517833716576344
1774,-0.171063418,-0.126480128,-0.093288734,0.022145680701675455,0.076750874,0.2279320539002254,0.016190553,0.069658925,0.21379760282682447,0.060381048,0.093151511,0.14180851441016845,-0.100316524,-0.054580087,0.065846149,-0.140495254,0.050076348,0.26957318749613224
1775,-0.170551836,-0.126102352,-0.09301536,0.021610415249414053,0.075071387,0.22025966061921265,0.016410745334737784,0.067803819,0.20708754884457223,0.06029907,0.092201618,0.1413729863808764,-0.100330724,-0.05558605,0.059284386,-0.112785491,0.051663011,0.23743685846201015
1776,-0.170002424,-0.125701435,-0.092731122,0.021281992,0.07467696,0.219316846,0.016559499480876524,0.067693989,0.20482047397656572,0.056988505097391944,0.088965806,0.136797605,-0.099894594,-0.055734238,0.057752253,-0.151624833,0.046673736,0.2666675221084077
1777,-0.169426994,-0.125300222,-0.092438067,0.021441961953308136,0.075471275,0.2211171711291176,0.016080003879362148,0.067891577,0.207896654,0.053316158,0.083868121,0.13384039775113565,-0.099587236,-0.054907763,0.060225553,-0.148350614,0.044168979,0.2552527960385226
1778,-0.168816547,-0.124856945,-0.092120003,0.021404862175605208,0.074788038,0.21888600672823932,0.015927777,0.067491305,0.2031180332899754,0.052865723,0.082721172,0.13502018191174972,-0.098870679,-0.055142569,0.057842824,-0.146163768,0.045250221077093644,0.26151654833790594
1779,-0.168168669,-0.124368957,-0.09175252,0.021213299853255638,0.07353988,0.21486927125361777,0.016252476925852147,0.066558934,0.19832215342732018,0.057984549499126084,0.088917689,0.14277440822172655,-0.098288142,-0.055494934,0.053481358,-0.142453239,0.051075593503785405,0.26274874297289647
1780,-0.167496872,-0.123865201,-0.091369525,0.02126581,0.074054193,0.21513262510077247,0.016408643,0.066504566,0.19941681555109847,0.069868146,0.10399344431775744,0.1591786816406927,-0.097453047,-0.055061368,0.055234652,-0.130539477,0.058710957,0.28885970539741535
1781,-0.166791539,-0.123330286,-0.0909619,0.021088811,0.072536153,0.2112204162428212,0.016371326016614382,0.065462578,0.1955914382243814,0.081430663,0.11886538203671021,0.17736259487483294,-0.097140255,-0.055322154,0.051587182,-0.110667676,0.072242242,0.2928387351771219
1782,-0.166060463,-0.122782273,-0.090543804,0.021122115317590423,0.072620175,0.21037709202431312,0.016159586837375742,0.065494687,0.195005832,0.087911491,0.12792877165001662,0.18889789560576342,-0.096246678,-0.055270712,0.050294559,-0.125018555,0.08447193,0.30907791742841795
1783,-0.165312751,-0.122223385,-0.090119286,0.021167702580039915,0.073102526,0.21165344564995883,0.016281995,0.065848504,0.19531154742745235,0.088887576,0.13086811649331778,0.19317273864607626,-0.095944946,-0.054363997,0.051877807,-0.108163412,0.087862542,0.3198050192284862
1784,-0.164554017,-0.121657344,-0.089690357,0.021207490025489828,0.073752737,0.21268223305479178,0.016158636159742362,0.066334064,0.19753820001881295,-0.311214803,-0.177317245,-0.017918411,-0.095601797,-0.053638838,0.0544037,-0.433437199,-0.216078694,0.031127286871743112
1785,-0.163788683,-0.121089359,-0.089265522,0.021448183810673704,0.074369936,0.21557167188085358,0.017528672216730934,0.067493528,0.20421174357305327,-0.416747916,-0.27495421,-0.148861323,-0.094427802,-0.051459185,0.06255314,-0.534927555,-0.321814781,-0.089128345
1786,-0.163000707,-0.120500622,-0.088824805,0.021336507,0.07406942,0.21392295543913797,0.017360556,0.067886134,0.20317710315318158,-0.317749484,-0.1954134,-0.102432291,-0.093318654,-0.050592958,0.059912981212017824,-0.45120903,-0.237721054,-0.034221148
